Country,"Inflation, consumer prices (annual %)",Urbanization (%),FDI (% of GDP),"GDP per capita, PPP (current international $)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Tax revenue (% of GDP),Individuals using the Internet (% of population),Trade Openness (% of GDP),Rule of Law Score,Government Effectiveness,Regulatory Quality,Real GDP Growth (% Change),Voice and Accountability: Estimate,Political Stability and Absence of Violence/Terrorism: Estimate,"Central government debt, total (% of GDP)",External debt stocks (% of GNI),Public and publicly guaranteed debt service (% of exports),RSF_PressFreedomIndex,RSF_PressFreedomIndex_PoliticalScore,RSF_PressFreedomIndex_EconomicScore,RSF_PressFreedomIndex_LegalScore,RSF_PressFreedomIndex_SocialScore,RSF_PressFreedomIndex_SafetyScore,ECI,CPI score 2022,LiteracyRate_TotalPopulation_Pct,Gini_Index,Domestic credit to private sector (% of GDP)
Italy,8.20128991161718,71.657,2.98280776340516,56171.5481336644,8.069,24.4965223539924,85.0607,72.0531919277732,0.296974033117294,0.448645293712616,0.510931491851807,4.66176265113695,1.07431793212891,0.466298222541809,,,,"68,16","65,89","47,52","73,93",80,"73,48",1.4565064,56,99.2,38.18,69.6223223507776
Jamaica,10.3495688391272,57.008,1.86419733640372,10790.1333004334,4.083,,85.1185,,-0.070953443646431,0.603865921497345,0.190213531255722,5.22151984737387,0.59103798866272,0.364242792129517,,94.3244704707438,21.5545406482534,"83,35","74,85","71,94","82,46",95,"92,52",-0.43110257,44,88.7,37.480000000000004,50.8255647840625
Japan,2.49770278172255,91.955,1.12781929281189,47366.3368944357,2.6,,84.9234,46.8437321391913,1.55796921253204,1.61941540241241,1.43877255916595,0.954736937781391,1.02100276947021,1.0326372385025,216.213375459903,,,"64,37","54,66","53,7","66,23","67,06","80,19",2.2851527,73,99.0,33.4,196.831842055378
Kazakhstan,15.0278644440851,57.99,2.25169814661934,35895.0839871669,4.86,12.0616921106992,92.2969,68.3343147415612,-0.474670082330704,0.142756044864655,-0.0112340543419123,3.19999999970734,-1.06711661815643,-0.4683538377285,21.3547830101811,80.4947506076646,44.7263382025498,"48,28","43,52","29,8","51,93","52,3","63,85",-0.3559345,36,100.0,27.79,25.0218936908865
Kenya,7.65986268272224,29.002,0.691645983068062,5883.22303961924,5.707,14.5993496343343,40.8137,33.6911387270322,-0.317989438772202,-0.329533219337463,-0.380829960107803,4.85998104287999,-0.150899544358253,-0.947280883789062,,37.210443281998,23.6732133721051,"64,59","62,42","46,33","72,28",78,"63,92",-0.24720798,32,83.0,38.7,31.2584163915549
South Korea,5.08951365062842,81.427,1.49617378306838,50792.0114044798,2.857,18.4445796703636,97.1686,96.5364092886865,1.1581643819809,1.34904730319977,1.1452225446701,2.61267219187226,0.878113925457001,0.579976737499237,51.1791323198157,,,"72,11","71,15","55,31","72,81","79,8","81,5",2.123311,63,98.8,40.5,174.967769247283
Kyrgyzstan,13.9229093174176,37.461,0.451992680624909,6577.51264877534,4.043,19.5419794530385,79.7703,133.786718048766,-1.14770913124084,-0.890511035919189,-0.63258820772171,8.96750520041391,-0.730020940303802,-0.471610426902771,47.085480540382,89.1225670738856,16.6877462903431,"64,25","59,9","48,64","68,86",69,"74,83",0.059186075,27,99.6,28.990000000000002,20.7968569789079
Lao People's Democratic Republic,22.9562225132056,37.592,4.69509225789708,8766.440626111,1.209,12.1129327825423,66.1548,,-0.804427981376648,-0.597129583358765,-0.987142562866211,2.70742652643155,-1.65810883045197,0.789451360702515,,131.914422875448,12.5667506623648,"36,64","36,06","20,92","31,58",44,"50,64",-0.762664,31,88.0,38.800000000000004,
Latvia,17.3102830198815,68.54,3.20205546190368,39931.6063013618,6.815,24.2302591248291,91.0301,159.82671948791,0.921031415462494,0.69153767824173,1.17088675498962,1.8126824022841,0.937443792819977,0.48640912771225,,,,"79,17","78,96","64,58","80,89","87,36","84,06",0.6781466,59,99.9,45.480000000000004,30.985781606162
Liberia,7.59298486560313,53.065,23.9985301015667,1691.57275721852,2.977,,30.1275,,-0.91592663526535,-1.43107986450195,-0.980886161327362,4.80810517290655,-0.00215343944728374,-0.267271250486374,,50.7592547714752,6.48107688174003,"62,77","55,5","32,8","74,69","82,57","68,3",-1.3899174,26,48.3,35.27,14.787430409394
